name,headline,is_outdoor,price_rating,booking_required,is_cardio,intimate,time_of_day,address_postcode,area_category,area_number,address_text,description,event_type,external_link,address_longitudinal,address_latitudinal,end_column_unused
Tate Modern,Enjoy modern art and have a drink on the rooftop at the Tate Modern,2,1,1,1,1,1,SE1 9TG,Southeast,5,"Tate Modern, Bankside, London SE1 9TG","Tate Modern is perfect for a casual date enjoying modern art, and in addition to the free exhibits there are usually great paid shows on display. Visit the top floor of the Blavatnik building for a 360 London skyline view at the bar/cafe. Visitors aged 16-25 can join the Tate Collective for £5 exhibition tickets.",museum,https://www.tate.org.uk/visit/tate-modern,0,0,1
Tate Britain,Enjoy art at the Tate Britain,2,1,1,1,1,1,SW1P 4RG,Southwest,6,"Tate Britain, Millbank, Westminster, London SW1P 4RG",Not available,museum,https://www.tate.org.uk/visit/tate-britain,0,0,1
V&A Museum,Check out some art and design at the V&A museum,2,1,1,1,1,1,SW7 2RL,Southwest,6,"V&A Museum, Cromwell Road, London SW7 2RL",The Victoria & Albert museum has a collection of over 2 million objects - visit to learn about art and design and see exhibits that in the past have ranged from food to top fashion.,museum,https://www.vam.ac.uk/,0,0,1
Saatchi Gallery,Check out contemporary art at Saatchi Gallery!,2,1,1,1,1,1,SW3 4RY,Southwest,6,"Saatchi Gallery, Duke of York's HQ, King's Road, London SW3 4RY",Saatchi Gallery has interesting and diverse contemporary art that will leave you thinking. A great alternative for those not excited by the more traditional art museums.,museum,https://www.saatchigallery.com/,0,0,1
National Portrait Gallery,Take a look at some old-fashioned portraiture at the National Portrait Gallery,2,1,1,1,1,1,WC2H 0HE,Central - West,2,"St. Martin's Pl, Charing Cross, London WC2H 0HE",Not available,museum,https://www.npg.org.uk/,0,0,1
Natural History Museum,Visit the Natural History Museum,2,1,1,1,1,1,SW7 5BD,Southwest,6,"Cromwell Rd, South Kensington, London SW7 5BD",Not available,museum,https://www.nhm.ac.uk/,0,0,1
Science Museum,Learn something exciting at the Science Museum,2,1,1,1,1,1,SW7 2DD,Southwest,6,"Exhibition Rd, South Kensington, London SW7 2DD",Not available,museum,http://www.sciencemuseum.org.uk,0,0,1
Tate Modern Late's,"Check out Tate Modern's after-hours, with music and drinks",2,1,1,1,2,2,SE1 9TG,Southeast,5,"Bankside, London SE1 9TG",Not available,museum,https://www.tate.org.uk/whats-on,0,0,1
Christie's Late's,"Enjoy speakers, free food tastings, and art at Christie's Auction House",2,1,1,1,2,2,SW1Y 6QT,Southwest,6,"Christie's London, 8 King St, St. Jame's, London SW1Y 6QT","On the first Monday of every month Christie's puts on a themed evening of speakers from across the art world, food tastings, and art displays. Drinks are cheap and the people watching opportunities are top.",museum,https://www.christies.com/exhibitions/christies-lates-global,0,0,1
Natural History Museum Late's,Check out the Natural History Museum's after hours,2,1,1,1,2,2,SW7 5BD,Southwest,6,"Cromwell Rd, South Kensington, London SW7 5BD",Not available,museum,https://www.nhm.ac.uk/,0,0,1
Tate Britain Late's,Check out the Tate Britain after-hours,2,1,1,1,2,2,SW1P 4RG,Southwest,6,"Tate Britain, Millbank, Westminster, London SW1P 4RG",Not available,museum,https://www.tate.org.uk/visit/tate-britain,0,0,1
National Portrait Gallery Late's,"Sit in on a free portrait drawing class, sip wine and dance to some beats at the National Portrait Gallery's Late's",2,1,1,1,2,2,WC2H 0HE,Central - West,2,"St. Martin's Pl, Charing Cross, London WC2H 0HE",Not available,museum,https://www.npg.org.uk/whatson/fridaylates,0,0,1
SoFar Sounds,Listen to live music in secret locations at SoFar Sounds,2,2,1,1,2,2,E1 6PJ,East,3,ANY,"SoFar Sounds hosts private concerts at homes, companies and small event venues in London. The performances are intimate and diverse, and the selected performers might range in genre from hip-hop to classical. Bring a bottle (or two) of wine, a spare blanket and discover your next favourite artist.",music,https://www.sofarsounds.com/,0,0,1
Hampstead Heath,"Explore Hamstead Pergola, Kenwood house, and take a swim at Hampstead Heath",1,1,1,2,1,1,NW5 1QR,Northwest,8,"Hampstead Heath, Hampstead, London NW5 1QR","Fly your kite on Parliament Hill, take a swim at the Swimming Ponds, or have a picnic in this gorgeous North London park. The stately Kenwood House was feature in Notting Hill, and the Hampstead Pergola is a particularly romantic spot. Autumn is particularly great for enjoying the foliage here.",outdoor,https://www.cityoflondon.gov.uk/things-to-do/green-spaces/hampstead-heath/Pages/default.aspx,0,0,1
St.James Park,Stroll through St.James Park to bird-watch and relax,1,1,1,2,1,1,SW1A 2BJ,Southwest,6,London SW1A 2BJ,Not available,outdoor,https://www.royalparks.org.uk/parks/st-jamess-park,0,0,1
Richmond Park,Meet some wild deer and have a picnic at Richmond Park,1,1,1,2,1,1,TW10 5HX,Southwest,6,"Richmond Park, Richmond TW10 5HX",,outdoor,https://www.royalparks.org.uk/parks/richmond-park,0,0,1
Regent's Park,"Enjoy the rose garden and fountains, and have a picnic at Regent's Park ",1,1,1,2,1,1,NW1 4NR,Northwest,8,"Chester Rd, London NW1 4NR",Not available,outdoor,https://www.royalparks.org.uk/parks/the-regents-park,0,0,1
Kew Gardens,"Check out the high line Treetop Walkway, tropical Palmhouse and lots of gardens at Kew Gardens",1,1,1,2,1,1,TW9 3AB,Southwest,6,Richmond TW9 3AB,Not available,outdoor,https://www.kew.org/,0,0,1
Holland Park,Visit the Japanese Kyoto Garden and have a picnic at Holland Park,1,1,1,2,1,1,W8 6LU,West,4,"Holland Park, Ilchester Place, London W8 6LU","Holland Park is the perfect location for a picnic and a stroll on a sunny day. The Kyoto Garden, with colorful koi fish and flora, was built by an eminent Japanese designer is a must-see.",outdoor,https://www.rbkc.gov.uk/leisure-and-culture/parks/holland-park,0,0,1
Swingers - The City,Play Mini Golf at Swingers,2,2,1,2,1,3,EC3A 8AL,Central - East,1,"8 Brown's Buildings, London EC3A 8AL",Not available,activity,https://swingersldn.com/home/city/,0,0,1
Stratford - Roof East,Play Mini Golf and Curling on a Carpark Rooftop in Stratford,1,2,1,2,2,3,E15 1BB,East,3,"7 & 8 Stratford Multi Storey Car Park, Great Eastern Rd, London E15 1BB",Not available,activity,http://www.roofeast.com/,0,0,1
Junkyard Golf Club,Play Mini Golf at Junkyard Golf Club,2,2,1,2,2,3,E1 6QL,East,3,"Old Truman Brewery, 91 Brick Ln, Spitalfields, London E1 6QL",Not available,activity,https://www.junkyardgolfclub.co.uk/london/,0,0,1
Flightclub Shoreditch,Play Darts at Flightclub Shoreditch,2,2,1,1,2,3,EC2A 2AH,Central - East,1,"2A Worship St, Finsbury, London EC2A 2AH",Not available,activity,https://flightclubdarts.com/london/location-shoreditch,0,0,1
Flightclub Islington,Play Darts at Flightclub Islington,2,2,1,1,2,3,N1 0NY,North,7,"56 Upper St, Islington, London N1 0NY",Not available,activity,https://flightclubdarts.com/london/location-islington,0,0,1
Flightclub Bloomsbury,Play Darts at Flightclub Bloomsbury,2,2,1,1,2,3,WC1A 1BS,Central - West,2,"55 New Oxford St, London WC1A 1BS",Not available,activity,https://flightclubdarts.com/london/location-bloomsbury,0,0,1
Flightclub Victoria,Play Darts at Flightclub Victoria,2,2,1,1,2,3,SW1E 5DJ,Southwest,6,"6 Sir Simon Milton Square, Westminster, London SW1E 5DJ",Not available,activity,https://flightclubdarts.com/london/location-victoria,0,0,1
DNA VR Virtual Reality Arcade,Play virtual reality games and escape rooms at DNA VR,2,3,1,2,2,3,N7 9LR,North,7,"Units 1&2, York House, Basement, 400-404 York Way, London N7 9LR",Not available,activity,https://www.dnavr.co.uk/,0,0,1
Archimedes Inspiration Escape Rooms,Try a 5-star escape room at Archimedes Inspiration Escape Rooms,2,3,1,2,1,3,SE16 4DG,Southeast,5,"Biscuit Factory, Unit K002, Kala Studios The, 100 Drummond Rd, London SE16 4DG",Not available,activity,https://www.aiescape.com/,0,0,1
HintHunt,Try an escape room at HintHunt,2,3,1,2,1,3,NW1 1BY,Northwest,8,"72-76 Eversholt St, London NW1 1BY",Not available,activity,https://hinthunt.co.uk/,0,0,1
Omescape - Islington,Try a virtual reality escape room at Omescape,2,3,1,2,1,3,N1 9QW,North,7,"All Saints Church, Carnegie St, Islington, London N1 9QW",Not available,activity,https://omescapelondon.co.uk/,0,0,1
clueQuest,Try an escape room at clueQuest,2,3,1,2,1,3,N1 0SL,North,7,"169-171 Caledonian Rd, Islington, London N1 0SL",Not available,activity,https://cluequest.co.uk/,0,0,1
Enigma Escape,Try an escape room at Enigma Escape,2,3,1,2,1,3,N7 8EL,North,7,"Unit 38, 10 Hornsey St, London N7 8EL",Not available,activity,https://enigmaescape.co.uk/,0,0,1
Rowan's,"Bowl, dance and sing karakoke at Rowan's",2,2,1,2,1,3,N4 2DF,North,7,"10 Stroud Green Rd, Finsbury Park, London N4 2DF",Not available,activity,http://rowans.co.uk/,0,0,1
Borough Market,"Bowl, play pool and have a beer at Rowan's",2,2,1,2,1,1,SE1 1TL,Southeast,5,"8 Southwark St, London SE1 1TL",Not available,market,http://boroughmarket.org.uk/,0,0,1
Maltby Street Food Market,"Eat at countless trendy foodstalls, do a wine tasting, and buy fresh cheeses and veggies at Borough Market",1,2,1,2,1,1,SE1 3PA,Southeast,5,"37 Maltby St, London SE1 3PA",Not available,market,http://www.maltby.st/,0,0,1
Old Spitafields Market,"Grab a bite and wander through market stalls filled with art, clothing and crafts",2,2,1,2,1,1,E1 6AA,East,3,"56 Brushfield St, Spitalfields, London E1 6AA","Old Spitalfields has a top-notch collection of food stalls and vendors. Try shengjianbao soup dumplings at Dumpling Shack, known for serving some of the best dumplings in London and grab a perfect coffee at Department of Coffee and Social Affairs. Discover new fashions, arts and jewellry wandering through the market stalls.",market,https://oldspitalfieldsmarket.com/,0,0,1
Brick Lane Market,"Visit international food stalls - Polish, Ethiopian, Argentinian, and more- and wander through stalls of antiques and vintage clothes at Brick Lane Market",1,2,1,2,1,1,E1 6QR,East,3,"Brick Ln, Spitalfields, London E1 6QR","Brick Lane is famous for its curry houses and Indian restaurants. Check out this area for endless stalls selling international foods, vintage clothing stores and antiques. The area includes the Sunday Upmarket (fashion, art, food), Backyard Market (jewellery, print, accessories), Boiler House Food Hall (food) and Vintage Market (clothing), The Tea Rooms (antiques and furnitires)",market,https://www.visitlondon.com/things-to-do/place/279336-brick-lane-market,0,0,1
Columbia Road Flower Market,"Bargain for flowers, cacti and houseplants at Columbia Road Flower Market",1,1,1,2,1,1,E2 7RG,East,3,"Columbia Rd, London E2 7RG",Not available,market,http://www.columbiaroad.info,0,0,1
Portobello Road Market,"Check out antiques, food stalls and more in the picturesque Notting Hill setting of Portobello Road Market",1,2,1,2,1,1,W10 5TA,West,4,"306 Portobello Rd, London W10 5TA",Not available,market,http://www.portobelloroad.co.uk/the-market/,0,0,1
Camden Market,Try some trendy fusion foods at the food stalls of trendy Camden Market,1,2,1,2,1,1,NW1 8AF,Northwest,8,"Camden Lock Pl, Camden Town, London NW1 8AF",Not available,market,https://www.camdenmarket.com/,0,0,1
Alexandra Palace Farmer's Market,Buy some fresh ingredients and taste foods at Alexandra Palace Farmer's Market,1,2,1,2,1,1,N8 7FW,North,7,London N8 7FW,Not available,market,https://www.alexandrapalace.com/things-to-do/farmers-market/,0,0,1
Pop Brixton,Enjoy some food and music at Pop Brixton,2,2,1,2,1,1,SW9 8PQ,Southwest,6,"49 Brixton Station Rd, Brixton, London SW9 8PQ",Not available,market,https://www.popbrixton.org/,0,0,1
Canopy Market,Check out the stalls at Canopy Market,2,2,1,2,1,1,N1C 4BH,North,7,"West Handyside Canopy, London N1C 4BH",Not available,market,https://www.kingscross.co.uk/canopy-market,0,0,1
Greenwich Market,Check out the stalls at Greenwich Market,1,2,1,2,1,1,SE10 9HZ,Southeast,5,"5B Greenwich Market, Greenwich Peninsula, London SE10 9HZ",Not available,market,https://www.greenwichmarket.london/,0,0,1
Southbank Centre Food Market,Enjoy some food and wander through the stalls of Southbank Centre Food Market,1,2,1,2,1,1,SE1 8XX,Southeast,5,"Southbank Centre, Belvedere Rd, Lambeth, London SE1 8XX",Not available,market,https://www.southbankcentre.co.uk/,0,0,1
Flat Iron Square,Get a drink or some snacks in Flat Iron Square,2,2,1,2,1,3,SE1 1RU,Southeast,5,"53b Southwark St, London SE1 1RU",Not available,market,https://www.flatironsquare.co.uk/,0,0,1
Cycling on Lee River,Cycle along the beautiful canalside and foliage by the Lee River,1,1,1,3,1,1,E9 5EN,East,3,"River Lee, Sweetwater Mooring, White Post Ln, London E9 5EN",Not available,sport,https://canalrivertrust.org.uk/enjoy-the-waterways/canal-and-river-network/lee-navigation,0,0,1
Serpentine at Hyde Park - Boating,Rent a boat for an hours boating on the peaceful Serpentine at Hyde Park,1,2,1,3,1,1,W2 2AR,West,4,London W2 2AR,Not available,sport,https://www.royalparks.org.uk/parks/hyde-park/things-to-see-and-do/sports-and-leisure/boating-in-hyde-park,0,0,1
VauxWall West,Go bouldering at VauxWall West,2,2,1,3,1,3,SW8 1SR,Southwest,6,"46 - 47a S Lambeth Rd, Vauxhall, London SW8 1SR",Not available,sport,https://www.vauxwest.co.uk/,0,0,1
Clip 'n Climb,Test your grip at Clip 'n Climb climbing centre,2,2,1,3,1,3,SW6 2ER,Southwest,6,"19 Michael Rd, Fulham, London SW6 2ER",Not available,sport,https://www.clipnclimbchelsea.co.uk/,0,0,1
Regents Canal,Take a peacefull stroll by Regents Canal,1,1,1,2,1,1,N1 8HD,North,7,"Islington, London N1 8HD",Not available,outdoor,https://www.visitlondon.com/things-to-do/london-areas/regents-canal,0,0,1
Little Venice,Walk along the tranquil canal and enjoy the houseboats,1,1,1,2,1,1,W2 1XB,West,4,"Little Venice, London W2 1XB",Not available,outdoor,https://www.visitlondon.com/things-to-do/place/401228-little-venice,0,0,1
Bar Salsa Soho,Take a Salsa class and dance the night away at Bar Salsa Soho,2,2,1,3,3,2,WC2H 0JG,Central - West,2,"96 Charing Cross Rd, London WC2H 0JG",Not available,sport,https://www.bar-salsa.com/soho,0,0,1
Bar Salsa Temple,Take a Salsa class and dance the night away at Bar Salsa Temple,2,2,1,3,3,2,WC2R 2PH,Central - West,2,"Temple Station, London WC2R 2PH",Not available,sport,https://www.bar-salsa.com/temple,0,0,1
Icognito Dance Putney,Learn some Salsa or Bachata and sweep your date off their feet at Icognito Dance Putney,2,2,1,3,3,2,SW15 2RD,Southwest,6,"PUTNEY CLUB,   63a Upper Richmond Rd, London SW15 2RD",Not available,sport,https://www.incognitodance.com/,0,0,1
Icognito Dance Hammersmith,Learn some Salsa or Bachata and sweep your date off their feet at Icognito Dance Hammersmith,2,2,1,3,3,2,W6 9DH,West,4,"Hammersmith Salsa Club, 11 Rutland Grove, Hammersmith, London W6 9DH",Not available,sport,https://www.incognitodance.com/,0,0,1
Yoga at Natural History Musem,Try some yoga in the unique setting of the natural history museum,2,2,1,3,2,1,SW7 5BD,Southwest,6,"Cromwell Rd, South Kensington, London SW7 5BD",Not available,sport,https://www.nhm.ac.uk/events/yoga-at-the-natural-history-museum.html,0,0,1
The Castle Climbing Centre,Spend a few hours climbing at The Castle,2,2,1,3,1,2,N4 2HA,North,7,"Green Lanes, London N4 2HA",Not available,sport,https://www.castle-climbing.co.uk/,0,0,1
Yoga at the Gherkin,Try yoga with skyline views at the Gherkin,2,3,1,3,2,1,EC3A 8BF,Central - East,1,"30 St Mary Axe, London EC3A 8BF",Not available,sport,http://www.30stmaryaxe.com/,0,0,1
Meditation Class at Re:Mind,Try a gong or crystals meditation at Re:Mind,2,3,1,1,2,3,SW1W 9NF,Southwest,6,"25A Eccleston Pl, Belgravia, London SW1W 9NF",Not available,sport,https://remindstudio.com/,0,0,1
Bread Ahead Baking Class,Learn some baking skills at Bread Ahead,2,4,1,1,1,3,SE1 9DE,Southeast,5,"Borough Market, Cathedral St, London SE1 9DE",Not available,hobby,http://breadahead.com,0,0,1
Life Drawing at Naked Brunch,Flex your artistic muscles at Naked Brunch's Life Drawing,2,3,1,1,3,2,SW12 9SG,Southwest,6,12 Balham Station Road SW12 9SG,Not available,hobby,https://exhibitb.co.uk/naked-brunch/,0,0,1
Life Drawing at Waterloo Action Centre,Flex your artistic muscles at WAC's Life Drawing,2,2,1,1,3,2,SE1 7AA,Southeast,5,"14 Baylis Rd, Lambeth, London SE1 7AA",Not available,hobby,http://www.waterlooactioncentre.co.uk/,0,0,1
Life Drawing With The East London Strippers’ Collective,Flex your artistic muscles at a unique life drawing class,2,3,1,1,3,2,E1 6PJ,East,3,"Venue Varies, East London, E1 6PJ",Not available,hobby,https://www.meetup.com/Life-Drawing-With-ELSC/,0,0,1
Drink & Draw at the Royal Drawing School,Sip wine and try some painting at the Royal Drawing School,2,3,1,1,2,2,EC2A 3SG,Central - East,1,"19-22 Charlotte Rd, Hackney, London EC2A 3SG",Not available,hobby,http://royaldrawingschool.org,0,0,1
Jack the Ripper Tour,Try not to get scared on the Jack the Ripper Tour,1,1,1,2,1,1,EC3N 1AB,Central - East,1,"Aldgate High St, London EC3N 1AB",Not available,tour,https://freetoursbyfoot.com/jack-the-ripper-tour/#free,0,0,1
Harry Potter Tour,Let your inner nerd free on the Harry Potter Tour,1,1,1,2,1,1,SW1P 3AD,Southwest,6,"Westminster, London SW1P 3AD",Not available,tour,https://freetoursbyfoot.com/harry-potter-tour-london/,0,0,1
Cheese-Making at Wildes Cheese,Learn a new skill at Wildes Cheese,2,4,1,1,1,1,N17 8JA,North,7,"Queen St, London N17 8JA",Not available,hobby,https://wildescheese.co.uk/,0,0,1
Graffiti in Leake St Tunnel,Paint your own masterpiece in Leake St Tunnel,2,1,1,1,1,1,SE1 7NN,Southeast,5,"Leake St, Lambeth, London SE1 7NN",Not available,hobby,,0,0,1
Cocktail Making at London Cocktail Club - Oxford Circus,Take a cocktail making class,2,3,1,1,2,2,W1W 8QJ,West,4,"4 Great Portland St, Fitzrovia, London W1W 8QJ",Not available,hobby,http://londoncocktailclub.co.uk,0,0,1
TT-Liquor’s Interactive Cocktail Classes,Take a cocktail making class,2,3,1,1,2,2,E2 8AA,East,3,"17B Kingsland Rd, Hackney, London E2 8AA",Not available,hobby,https://ttliquor.co.uk/,0,0,1
Queens Skate Dine Ball,"Skate, eat and bowl at this all in one location",2,2,1,2,1,3,W2 4QP,West,4,"17 Queensway, Bayswater, London W2 4QP",Not available,activity,http://queens.london,0,0,1
Theatre at Shakespeare's Globe,Enjoy some theatre at Shakespeare's Globe,2,3,1,1,1,3,SE1 9DT,Southeast,5,"21 New Globe Walk, London SE1 9DT",Not available,theatre,https://www.shakespearesglobe.com/,0,0,1
Comedy at Top Secret Comedy Club,Laugh the night away at Top Secret Comedy Club,2,3,1,1,2,2,WC2B 5PD,Central - West,2,"170 Drury Ln, Holborn, London WC2B 5PD",Not available,comedy,https://thetopsecretcomedyclub.co.uk/,0,0,1
Comedy at The Comedy Store,Laugh the night away at the Comedy Store,2,2,1,1,2,2,SW1Y 4EE,Southwest,6,"1a Oxendon St, London SW1Y 4EE",Not available,comedy,https://thecomedystore.co.uk/,0,0,1
See a West End Show,Check out a musical or some theatre with a West End Show,2,3,1,1,2,3,W1D 3NE,West,4,"Soho, London W1D 3NE",Not available,theatre,http://londontheatredirect.com,0,0,1
Comedy at Angel Comedy Club,Laugh the night away at the Angel Comedy Club,2,2,1,1,2,2,N1 8NQ,North,7,"39 Queen's Head St, Islington, London N1 8NQ",Not available,comedy,https://www.angelcomedy.co.uk/,0,0,1
Electric Cinema,See a film at Electric Cinema,2,2,1,1,2,3,W11 2ED,West,4,"191 Portobello Rd, Notting Hill, London W11 2ED",Not available,theatre,https://www.electriccinema.co.uk/,0,0,1
The Everyman - Screen on the Green,See a film at Screen on the Green,2,2,1,1,2,3,N1 0NP,North,7,"83 Upper St, The Angel, London N1 0NP",Not available,theatre,https://www.everymancinema.com/,0,0,1
The Everyman - Hampstead,See a film at The Everyman,2,2,1,1,2,3,NW3 6TX,Northwest,8,"5 Holly Bush Vale, London NW3 6TX",Not available,theatre,https://www.everymancinema.com/,0,0,1
Cine Lumiere,See a foreign film at Cine Lumiere,2,2,1,1,2,3,SW7 2DT,Southwest,6,"17 Queensberry Pl, South Kensington, London SW7 2DT",Not available,theatre,https://www.institut-francais.org.uk/cine-lumiere/,0,0,1
Rich Mix,See a film at Rich Mix,2,2,1,1,2,3,E1 6LA,East,3,"35-47 Bethnal Green Rd, Shoreditch, London E1 6LA",Not available,theatre,https://richmix.org.uk/,0,0,1
British Museum,Check out world artefacts at the British Museum,2,1,1,1,1,1,WC1B 3DG,Central - West,2,"Great Russell St, Bloomsbury, London WC1B 3DG",Not available,museum,https://www.britishmuseum.org/,0,0,1
Barbican Conservatory,Explore a massive indoor garden at Barbican Conservatory,2,1,1,1,1,1,EC2Y 8DS,Central - East,1,"Silk St, London EC2Y 8DS",Not available,other,http://barbican.org.uk,0,0,1
Ronnie Scott's,Listen to live jazz at Ronnie Scott's,2,2,1,1,2,2,W1D 4HT,West,4,"47 Frith St, Soho, London W1D 4HT",Not available,music,http://ronniescotts.co.uk,0,0,1
The Ginstitute,Take a gin-making class at the Ginstitute,2,2,1,1,2,3,W11 1LA,West,4,"186 Portobello Rd, Notting Hill, London W11 1LA",Not available,hobby,https://www.theginstitute.com/,0,0,1
Draughts Waterloo,Play boardgames together at Draughts,2,2,1,1,1,3,SE1 7NN,Southeast,5,"Arch 16 Leake St, Lambeth, London SE1 7NN",Not available,activity,https://www.draughtslondon.com/,0,0,1
Draughts Hackney,Play boardgames together at Draughts,2,2,1,1,1,3,E8 2JS,East,3,"41 Kingsland High St, Dalston, London E8 2JS",Not available,activity,https://www.draughtslondon.com/,0,0,1
Greenwich Observatory Planetarium,Watch a show at the Planetarium,2,2,1,1,2,1,SE10 8XJ,Southeast,5,"Blackheath Ave, Greenwich, London SE10 8XJ",Not available,activity,http://www.rmg.co.uk,0,0,1
Backyard Comedy Club,Laugh the night away at the Backyard Comedy Club,2,2,1,1,2,2,E2 0EL,East,3,"231 Cambridge Heath Rd, Bethnal Green, London E2 0EL",Not available,comedy,http://backyardcomedyclub.co.uk/,0,0,1
Blues Kitchen,Listen to live music at Blues Kitchen,2,2,1,1,2,2,EC2A 3AR,Central - East,1,"134-146 Curtain Rd, Hackney, London EC2A 3AR",Not available,music,http://theblueskitchen.com,0,0,1
The Piano Works Farringdon,Listen to live music at The Piano Works Farringdon,2,2,1,1,2,2,EC1R 3BX,Central - East,1,"113-117 Farringdon Rd, Farringdon, London EC1R 3BX",Not available,music,http://pianoworks.bar,0,0,1
Sushi Class at London Cookery School,Learn to make sushi at London Cookery School,2,3,1,1,2,1,N7 6NJ,North,7,"296 Holloway Rd, London N7 6NJ",Not available,hobby,http://londoncookeryschool.co.uk,0,0,1
Opera at the Royal Opera House,Watch a performance at the Royal Opera House,2,4,1,1,2,2,WC2E 9DD,Central - West,2,"Bow St, Covent Garden, London WC2E 9DD",Not available,theatre,http://roh.org.uk,0,0,1
Young Vic,Watch a performance at the Young Vic,2,3,1,1,2,2,SE1 8LZ,Southeast,5,"66 The Cut, Lambeth, London SE1 8LZ",Not available,theatre,http://youngvic.org,0,0,1
Ballet at the Royal Opera House,Watch a performance at the Royal Opera House,2,4,1,1,2,2,WC2E 9DD,Central - West,2,"Bow St, Covent Garden, London WC2E 9DD",Not available,theatre,http://roh.org.uk,0,0,1
Sadler's Wells,Watch a dance performance at Sadler's Wells,2,3,1,1,2,2,EC1R 4TN,Central - East,1,"Rosebery Ave, Clerkenwell, London EC1R 4TN",Not available,theatre,http://sadlerswells.com,0,0,1
London Terrariums,Build a terrarium at London Terrariums,2,3,1,1,1,1,SE14 5BA,Southeast,5,"106a New Cross Rd, London SE14 5BA",Not available,hobby,https://londonterrariums.com/workshops,0,0,1
Whistlepunks - Vauxhall,Try axe-throwing at Whistlepunks Vauxhall,2,2,1,1,2,3,SW8 1SQ,Southwest,6,"Arch 25, Handel Business Centre, 73 Bondway, London SW8 1SQ",Not available,activity,https://www.whistlepunks.com/location/london-vauxhall/,0,0,1
Naked yoga at Doria Yoga,Try naked yoga at Doria Yoga,2,2,1,3,3,3,SW18 1AA,Southwest,6,"Clapham, SW9",Not available,sport,http://www.doriayoga.com/classes/,0,0,1
Watch a London football match at Arsenal Stadium,Watch a football game,1,3,1,1,1,3,N7 7AJ,North,7,"Hornsey Rd, London N7 7AJ",Not available,activity,https://www.livefootballtickets.com/city/london-tickets.html,0,0,1
Novelty Automation,Play quirky arcade games at Novelty Automation,2,2,1,1,1,1,WC1R 4AY,Central - West,2,"1A Princeton St, Holborn, London WC1R 4AY",Not available,activity,http://www.novelty-automation.com/,0,0,1
Brick Lane Street Art Tour,Check out cool street art in Brick Lane,1,1,1,2,1,1,E1 7QX,East,3,83 Whitechapel High Street E1 7QX,Not available,tour,https://freetoursbyfoot.com/london-tours/walking-tours/london-graffiti-and-street-art-tour/?gclid=EAIaIQobChMIs4_7sa3R5QIVibPtCh3Cmw8TEAAYAiAAEgIY1vD_BwE,0,0,1
